,question,text
0,When did Beyonce start becoming popular?,in the late 1990s
1,What areas did Beyonce compete in when she was growing up?,singing and dancing
2,When did Beyonce leave Destiny's Child and become a solo singer?,2003
3,In what city and state did Beyonce  grow up? ,"Houston, Texas"
4,In which decade did Beyonce become famous?,late 1990s
5,In what R&B group was she the lead singer?,Destiny's Child
6,What album made her a worldwide known artist?,Dangerously in Love
7,Who managed the Destiny's Child group?,Mathew Knowles
8,When did Beyoncé rise to fame?,late 1990s
9,What role did Beyoncé have in Destiny's Child?,lead singer
10,What was the first album Beyoncé released as a solo artist?,Dangerously in Love
11,When did Beyoncé release Dangerously in Love?,2003
12,How many Grammy awards did Beyoncé win for her first solo album?,five
13,What was Beyoncé's role in Destiny's Child?,lead singer
14,What was the name of Beyoncé's first solo album?,Dangerously in Love
15,"After her second solo album, what other entertainment venture did Beyonce explore?",acting
16,Which artist did Beyonce marry?,Jay Z
17,"To set the record for Grammys, how many did Beyonce win?",six
18,For what movie did Beyonce receive  her first Golden Globe nomination?,Dreamgirls
19,When did Beyonce take a hiatus in her career and take control of her management?,2010
20,Which album was darker in tone from her previous work?,Beyoncé
21,"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",Cadillac Records
22,When did Destiny's Child end their group act?,June 2005
23,What was the name of Beyoncé's second solo album?,B'Day
24,"What was Beyoncé's first acting job, in 2006?",Dreamgirls
25,Who is Beyoncé married to?,Jay Z
26,What is the name of Beyoncé's alter-ego?,Sasha Fierce
27,"In her music, what are some recurring elements in them?","love, relationships, and monogamy"
28,Time magazine named her one of the most 100 what people of the century?,influential
29,Which magazine declared her the most dominant woman musician?,Forbes
30,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,2000s
31,What magazine rated Beyonce as the most powerful female musician in 2015?,Forbes
32,How did Beyonce describe herself as a feminist?,modern-day feminist
33,In which years did Time rate Beyonce in the 100 most influential people in the world?,2013 and 2014
34,How many records has Beyonce sold in her 19 year career?,118 million
35,How many records did Beyoncé sell as part of Destiny's Child?,60 million
36,"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",118 million
37,How many Grammy awards has Beyoncé won?,20
38,What magazine named Beyoncé as the most powerful female musician for 2015?,Forbes
39,Beyonce's younger sibling also sang with her in what band?,Destiny's Child
40,Where did Beyonce get her name from?,her mother's maiden name
41,What race was Beyonce's father?,African-American
42,Beyonce's childhood home believed in what religion?,Methodist
43,Beyonce's father worked as a sales manager for what company?,Xerox
44,Beyonce's mother worked in what industry?,hairdresser and salon owner
45,What younger sister of Beyonce also appeared in Destiny's Child?,Solange
46,Beyonce is a descendent of what Arcadian leader?,Joseph Broussard
47,What company did Beyoncé's father work for when she was a child?,Xerox
48,What did Beyoncé's mother own when Beyoncé was a child?,salon
49,What is the name of Beyoncé's younger sister?,Solange
50,Beyoncé is a descendant of which Acadian leader?,Joseph Broussard.
51,Beyoncé was raised in what religion?,Methodist
52,What town did Beyonce go to school in?,Fredericksburg
53,Who was the first person to notice Beyonce's singing ability?,Darlette Johnson
54,Beyonce moved to which town after she left her first elementary school?,Houston
55,Which of her teachers discovered Beyonce's musical talent?,dance instructor Darlette Johnson
56,I which church was Beyonce  a member and soloist  in the choir?,St. John's United Methodist Church
57,What type of school was Parker Elementary School?,music magnet school
58,Which song did Beyonce sing to win a competition at age 7?,Imagine
59,What city was Beyoncé's elementary school located in?,Fredericksburg
60,What was the name of Beyoncé's first dance instructor?,Darlette Johnson
61,How old was Beyoncé when she won a school talent show?,seven
62,What choir did Beyoncé sing in for two years?,St. John's United Methodist Church
63,Who decided to place Beyonce's group in Star Search the talent show?,Arne Frager
64,"In 1995, who decided to manage the girls singing group?",Beyoncé's father
65,Who was the first record label to give the girls a record deal?,Elektra Records
66,Who brought Beyonce to California and enter her group in Star Search?,Arne Frager
67,In what year did Beyonce's father quit his job to manage her group?,1995
68,What large record company recorded Beyonce's group's first album?,Sony Music
69,What record company first signed Beyonce's group and later cut them?,Elektra Records
70,At what age did Beyonce meet LaTavia Robertson?,age eight
71,How old was Beyoncé when she met LaTavia Roberson?,eight
72,What was the name of the first group Beyoncé was a part of?,Girl's Tyme
73,Who placed Girl's Tyme in Star Search?,Arne Frager
74,When did Beyoncé begin to manage the girl group?,1995
75,"Who signed the girl group on October 5, 1995?",Dwayne Wiggins's Grass Roots Entertainment
76,Which film featured Destiny's Child's first major single?,Men in Black
